scenario,fuzzer_type,algorithm,avg_fairness,std_fairness,avg_ho_rate,std_ho_rate,avg_sinr_5th,total_vulns
High Load,AI,baseline,0.15059153984076556,0.05731521496529133,12.36,2.5143607637431944,-11.962154749831988,403
High Load,AI,utility,0.18154436102744367,0.0618722189372424,17.655,3.094162927369134,-20.8594568457612,443
High Load,Random,baseline,0.1399012701847922,0.054580540768846005,11.47,2.6312959911353233,-20.911195786854066,445
High Load,Random,utility,0.17117368167564392,0.058968394540699236,18.005,3.164656419148258,-18.523685874728216,453
High Mobility,AI,baseline,0.12802111234906932,0.06171626002820373,11.935,2.57564452586495,-25.265696037558584,429
High Mobility,AI,utility,0.17140535899597062,0.05762105724207605,19.955,3.164338825253239,-29.06603670507036,492
High Mobility,Random,baseline,0.14518721555228398,0.05607196791528429,11.065,2.4903381135094875,-31.347022911696396,447
High Mobility,Random,utility,0.15685375422101916,0.058691616384632245,19.94,3.57495475601268,-29.119065970051594,498
Low Load,AI,baseline,0.15029638735257944,0.060535279098640246,11.615,2.586547144486886,-12.320966717377962,377
Low Load,AI,utility,0.1862474701893633,0.052499706167980734,17.77,2.983556274012771,-18.430209101691776,433
Low Load,Random,baseline,0.14560253006174195,0.054009964187136716,11.48,2.63139147705689,-19.785699442622654,444
Low Load,Random,utility,0.1698677827027643,0.05950849896405767,17.895,3.224275852632547,-17.878749461298924,456
Mixed Mobility,AI,baseline,0.15463652915500833,0.05000725326434964,11.945,2.701567570260536,-2.431738141429628,388
Mixed Mobility,AI,utility,0.1803282725643187,0.04924238070512039,15.23,2.607892928714327,-14.05240187193687,425
Mixed Mobility,Random,baseline,0.15667699852899325,0.04844432477496844,11.785,2.63314302897797,-10.252314756427252,367
Mixed Mobility,Random,utility,0.15897631958661124,0.052784966837741504,17.245,3.108583512998555,-23.72599860459817,457
