scenario,fuzzer_type,algorithm,avg_jain_fairness,std_jain_fairness,avg_ho_rate,std_ho_rate,avg_throughput_5th,std_throughput_5th,total_vulns
High Load,AI,baseline,0.061650516458740805,0.045922950633314884,19.705,2.489773051755166,0.31475053245737217,0.9902594047939081,552
High Load,AI,utility,0.08129054267986449,0.04047172900986372,26.15,1.919877508655488,1.2358354347976857,2.067271675832564,513
High Load,Random,baseline,0.06953606954449089,0.044520181356840036,19.975,2.466738533970486,0.4779118253232446,1.2421955206591329,525
High Load,Random,utility,0.07256276792334529,0.03820806796342816,25.845,1.8103485324779915,0.8714634196268162,1.7253526480322412,535
High Mobility,AI,baseline,0.06620243273453724,0.045560534651486684,18.795,2.570214976441781,0.08802929908991787,0.4258273473043072,576
High Mobility,AI,utility,0.09000079377180996,0.04377122587129924,27.21,1.673290021929085,0.726850545834808,1.75081990062268,543
High Mobility,Random,baseline,0.08463770623128472,0.045052080797341576,19.1,2.327463303069604,0.32918423568812427,1.223655488629272,545
High Mobility,Random,utility,0.08861508197893796,0.04621664372365245,26.885,1.653920270541038,0.565449660841783,1.4380577898681066,557
Low Load,AI,baseline,0.06538307566061069,0.045416805645965924,19.8,2.5539406933847606,0.2536881946870126,0.9540682028514549,556
Low Load,AI,utility,0.07925373426816379,0.03913401756714503,26.475,1.7333196430331657,1.2967572630017532,2.0797203901393853,512
Low Load,Random,baseline,0.06616389075556375,0.0315944993447918,19.615,2.4467751312111967,0.3978413861297886,1.0647512075295633,538
Low Load,Random,utility,0.06931631788017453,0.03543107546468829,25.82,1.6647694394216153,0.8635846800149883,1.6683428100661486,540
Mixed Mobility,AI,baseline,0.07264289240770064,0.07572718920210149,21.965,2.427599885901742,3.013815298642498,1.739688649161295,563
Mixed Mobility,AI,utility,0.06514845833114141,0.05801791542582484,24.62,1.986284630450993,1.705336640077818,1.891599639024817,559
Mixed Mobility,Random,baseline,0.06708521188655692,0.03991311578091603,20.36,2.435169450214149,1.2824723132789952,1.824333965055646,541
Mixed Mobility,Random,utility,0.06636100180485723,0.036641556780080464,25.04,1.9096159733907627,1.979134499388514,2.1599047546351042,500
