scenario,fuzzer_type,algorithm,avg_jain_fairness,std_jain_fairness,avg_ho_rate,std_ho_rate,avg_throughput_5th,std_throughput_5th,total_vulns,vulnerabilities,vuln_diversity
Edge Computing,Adaptive_AI,baseline,0.1483328247243362,,0.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -8.74 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']]",2
Edge Computing,Adaptive_AI,ml_based,0.063827887383785,,37.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -7.68 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Edge Computing,Adaptive_AI,utility,0.0436636804759568,,36.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.66 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Edge Computing,Basic_AI,baseline,0.0697494613002866,,12.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.98 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Edge Computing,Basic_AI,ml_based,0.0545209171784551,,36.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -6.41 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
Edge Computing,Basic_AI,utility,0.1209598416042556,,31.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.06 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']]",2
Edge Computing,Naive_Random,baseline,0.1086209699508969,,17.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.37 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']]",2
Edge Computing,Naive_Random,ml_based,0.0754995602128421,,29.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.51 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
Edge Computing,Naive_Random,utility,0.2599751197845418,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.12 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.26']]",2
Edge Computing,Strategic_Random,baseline,0.0697893314061001,,14.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.34 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Edge Computing,Strategic_Random,ml_based,0.0577127318624055,,30.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.62 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Edge Computing,Strategic_Random,utility,0.0705973128391266,,30.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -0.68 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Emergency (BS Outage),Adaptive_AI,baseline,0.0417052331806889,,8.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.87 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Emergency (BS Outage),Adaptive_AI,ml_based,0.041882859856116,,29.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -9.72 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
