scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,0,baseline,"[2, 2, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 0, 1, 1, 1, 1, 1, 2, 2, 1]","[0.16666666666666666, 0.5, 0.3333333333333333]",['Unfairness: Jain Index = 0.04']
Low Load,1,baseline,"[2, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 0]","[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]",['Unfairness: Jain Index = 0.22']
Low Load,2,baseline,"[0, 2, 2, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 2, 1, 1, 2, 1, 0, 2, 2, 0, 1, 1, 2, 0, 1, 0, 2, 0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.09']"
Low Load,3,baseline,"[2, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 0, 1, 2, 0, 1, 1, 0, 2, 1, 0, 2, 0]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,4,baseline,"[2, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,5,baseline,"[0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 1, 0, 2, 1, 0, 1, 0]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,6,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 1, 0, 1, 0]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'QoS Violation: Avg High Prio SINR = 3.90 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']"
Low Load,7,baseline,"[2, 2, 0, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 2, 2, 2, 1, 0, 0, 1, 0, 2, 1, 0, 1, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,8,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 2, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.39 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']"
Low Load,9,baseline,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 0]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,10,baseline,"[2, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 0, 1, 2, 2, 1, 0, 2, 0]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,11,baseline,"[2, 2, 0, 2, 1, 0, 0, 0, 1, 2, 0, 1, 1, 2, 2, 0, 0, 1, 2, 2, 2, 0, 2, 1, 0, 2, 1, 0, 2, 1]","[0.3333333333333333, 0.26666666666666666, 0.4]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 4.75 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.29']"
Low Load,12,baseline,"[2, 2, 0, 2, 1, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 2, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 1]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 4.79 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.22']"
Low Load,13,baseline,"[2, 2, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 1, 0, 2, 2, 1, 1, 1, 0, 2, 1, 2, 2, 2]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
