scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,0,baseline,"[0, 2, 2, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 1, 0]","[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]",['Unfairness: Jain Index = 0.08']
Low Load,1,baseline,"[2, 2, 0, 2, 2, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0.5, 0.26666666666666666, 0.23333333333333334]",['Unfairness: Jain Index = 0.05']
Low Load,0,utility,"[1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 2, 0, 1]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]",['Unfairness: Jain Index = 0.06']
Low Load,1,utility,"[2, 2, 1, 0, 2, 1, 1, 0, 0, 1, 2, 2, 2, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]",['Unfairness: Jain Index = 0.07']
High Load,0,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 2, 0, 1, 2, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 2, 1]","[0.36666666666666664, 0.3333333333333333, 0.3]",['Unfairness: Jain Index = 0.08']
High Load,1,baseline,"[2, 1, 0, 2, 2, 2, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]",['Unfairness: Jain Index = 0.09']
High Load,0,utility,"[2, 2, 1, 0, 2, 1, 0, 0, 0, 1, 1, 2, 2, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 2, 2, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",['Unfairness: Jain Index = 0.10']
High Load,1,utility,"[2, 2, 1, 2, 2, 1, 0, 1, 0, 1, 2, 2, 2, 2, 1, 2, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[0.26666666666666666, 0.4, 0.3333333333333333]",['Unfairness: Jain Index = 0.04']
High Mobility,0,baseline,"[2, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]",['Unfairness: Jain Index = 0.12']
High Mobility,1,baseline,"[0, 1, 0, 2, 2, 2, 2, 1, 0, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 2, 1, 0, 1, 2, 2, 1]","[0.4, 0.23333333333333334, 0.36666666666666664]",['Unfairness: Jain Index = 0.05']
High Mobility,0,utility,"[2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 2, 2, 2, 2, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]",['Unfairness: Jain Index = 0.04']
High Mobility,1,utility,"[2, 2, 1, 0, 2, 1, 0, 2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 0, 2, 2, 0, 1, 1, 0, 0, 2, 1, 1]","[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",['Unfairness: Jain Index = 0.05']
