scenario,iteration,fuzzer_type,algorithm,assignments,cell_loads,vulnerabilities
Low Load,0,AI,baseline,"[0, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1]","[0.36666666666666664, 0.4, 0.23333333333333334]",['Unfairness: Jain Index = 0.04']
Low Load,1,AI,baseline,"[2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]",['Unfairness: Jain Index = 0.14']
Low Load,2,AI,baseline,"[2, 1, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,3,AI,baseline,"[1, 2, 0, 0, 2, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1, 0, 0, 2, 1, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,4,AI,baseline,"[1, 2, 0, 1, 2, 2, 1, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 1, 2, 0, 2, 0, 1]","[0.43333333333333335, 0.23333333333333334, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,5,AI,baseline,"[0, 1, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0.3, 0.6, 0.1]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,6,AI,baseline,"[0, 2, 0, 2, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,7,AI,baseline,"[0, 1, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 2, 1, 1, 0, 1, 0, 0, 2, 0, 1]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,8,AI,baseline,"[2, 2, 2, 2, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,9,AI,baseline,"[0, 1, 2, 0, 1, 2, 1, 0, 0, 1, 2, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1]","[0.5333333333333333, 0.23333333333333334, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,10,AI,baseline,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 2, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0.5333333333333333, 0.3333333333333333, 0.13333333333333333]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.12 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']"
Low Load,11,AI,baseline,"[0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,12,AI,baseline,"[0, 1, 0, 2, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 1, 2, 0, 1, 0, 0, 2, 0, 0, 2, 1, 1]","[0.43333333333333335, 0.3333333333333333, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,13,AI,baseline,"[2, 1, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,14,AI,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,15,AI,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 2, 0, 1, 0, 2, 2, 0, 0, 2, 1, 0, 0, 2, 1, 1]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,16,AI,baseline,"[0, 1, 2, 0, 2, 2, 1, 1, 0, 1, 1, 2, 2, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0.3333333333333333, 0.4, 0.26666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,17,AI,baseline,"[2, 0, 0, 0, 2, 2, 1, 1, 0, 1, 1, 0, 2, 0, 1, 1, 2, 1, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,18,AI,baseline,"[1, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 2, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0.4, 0.4, 0.2]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,19,AI,baseline,"[0, 1, 2, 2, 0, 1, 1, 2, 2, 1, 0, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 0, 1, 2, 0, 0, 2, 1, 1]","[0.23333333333333334, 0.36666666666666664, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
