scenario,iteration,fuzzer_type,algorithm,cell_loads,avg_overall_sinr,avg_high_prio_sinr,fairness_index,handover_count_iter,vulnerabilities
Low Load,0,AI,baseline,"[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]",13.852861,10.285561,0.21081878357164652,11,['Unfairness: Jain Index = 0.21']
Low Load,1,AI,baseline,"[0.23333333333333334, 0.4, 0.36666666666666664]",12.416703,7.310335,0.20132852202869642,10,['Unfairness: Jain Index = 0.20']
Low Load,2,AI,baseline,"[0.3, 0.36666666666666664, 0.3333333333333333]",13.952,14.806823,0.23922097253908184,11,['Unfairness: Jain Index = 0.24']
Low Load,3,AI,baseline,"[0.26666666666666666, 0.3333333333333333, 0.4]",15.57961,12.377961,0.20944258576984612,13,['Unfairness: Jain Index = 0.21']
Low Load,4,AI,baseline,"[0.3, 0.23333333333333334, 0.4666666666666667]",25.144863,25.5961,0.46592171674790395,7,[]
Low Load,5,AI,baseline,"[0.3, 0.36666666666666664, 0.3333333333333333]",11.897824,10.252768,0.14935620661315757,15,['Unfairness: Jain Index = 0.15']
Low Load,6,AI,baseline,"[0.3333333333333333, 0.3, 0.36666666666666664]",17.357515,10.72276,0.3116899256873575,10,['Unfairness: Jain Index = 0.31']
Low Load,7,AI,baseline,"[0.2, 0.4, 0.4]",23.430704,19.212011,0.326834125020631,9,['Unfairness: Jain Index = 0.33']
Low Load,8,AI,baseline,"[0.2, 0.36666666666666664, 0.43333333333333335]",17.036854,20.191607,0.2516061373069092,10,['Unfairness: Jain Index = 0.25']
Low Load,9,AI,baseline,"[0.13333333333333333, 0.43333333333333335, 0.43333333333333335]",22.978632,16.71647,0.34812144677637497,13,['Unfairness: Jain Index = 0.35']
Low Load,10,AI,baseline,"[0.26666666666666666, 0.43333333333333335, 0.3]",17.761005,18.668034,0.22293603364470896,12,['Unfairness: Jain Index = 0.22']
Low Load,11,AI,baseline,"[0.26666666666666666, 0.3, 0.43333333333333335]",24.04782,19.882914,0.3252547044183336,12,['Unfairness: Jain Index = 0.33']
Low Load,12,AI,baseline,"[0.2, 0.43333333333333335, 0.36666666666666664]",15.245,16.777117,0.26282580955005047,12,['Unfairness: Jain Index = 0.26']
