scenario,iteration,fuzzer_type,algorithm,cell_loads_list_str,avg_overall_sinr,avg_high_prio_sinr,fairness_index,handover_count_iter,ue_locations_str,serving_cell_ids_str,assigned_rsrp_list_str,assigned_sinr_list_str,num_ues_below_qos,sinr_5th_percentile,sinr_50th_percentile,sinr_95th_percentile,load_min,load_max,load_std,fuzzed_load_modifier_str,fuzzed_pos_modifier_str,vulnerabilities
Low Load,0,AI,baseline,"[0.13333333333333333, 0.5333333333333333, 0.3333333333333333]",16.05494588216146,12.735211531321207,0.2949247314809684,5,"[[142.6863555908203, 158.90872192382812], [-125.361083984375, -14.588600158691406], [-102.64788818359375, 194.8927001953125], [100.88253021240234, -13.312745094299316], [-118.03557586669922, -22.964534759521484], [-20.63936424255371, 144.81114196777344], [104.91339874267578, 206.26919555664062], [44.72444534301758, -104.29867553710938], [136.50462341308594, 153.46527099609375], [68.24478149414062, 161.38841247558594], [216.87503051757812, -20.894577026367188], [29.18556022644043, 31.132768630981445], [-24.10175895690918, 72.01083374023438], [88.2629623413086, 34.730979919433594], [20.91371726989746, -50.17723083496094]]","[1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 0, 2, 1, 0]","[-60.66370391845703, -70.42688751220703, -56.373897552490234, -35.58586883544922, -74.8051528930664, -78.4999008178711, -71.50004577636719, -71.35460662841797, -67.45954132080078, -63.55023193359375, -81.51427459716797, -50.65178680419922, -44.38737487792969, -41.750301361083984, -42.268798828125]","[14.345993995666504, 8.516141891479492, 34.810943603515625, 35.70304870605469, 8.406702995300293, 4.545820236206055, 20.33863067626953, 4.445162296295166, 14.730993270874023, 21.901771545410156, -2.3114194869995117, 4.253900051116943, 25.70496368408203, 15.323639869689941, 30.107894897460938]",1,2.2843041896820075,14.730993270874023,35.078575134277344,0.13333333333333333,0.5333333333333333,0.16329931618554522,"[0.08051058133591335, 0.0010504744895714346, 0.06529149322154834]","[[-1.7995039896938825, 3.9552322849620047], [-1.107983212658369, -4.891623485197016], [4.053819764192637, -4.087133232138664], [-1.8068636240958513, 4.5006196705080495], [3.423704130603204, 1.5229274995501623], [1.4948594320606174, -0.4332148934997152], [-1.4088609341469516, -1.9888648367692414], [2.639206519988589, 1.5753004216206643], [4.327666956153013, 2.3452702453906853], [-5.7841180372086844, -0.3843318614369176], [-4.866380597087765, 0.15921483708731865], [-0.35304697078224745, 4.97488418847127], [0.03197127981738199, -5.580332949351982], [-4.696629991755438, 2.1469235258656787], [-0.7056442060877417, -4.713906332288459]]",['Unfairness: Jain Index = 0.29']
Low Load,1,AI,baseline,"[0.3333333333333333, 0.26666666666666666, 0.4]",13.964412347475688,20.52506693204244,0.20704452766008621,6,"[[140.97479248046875, 157.62240600585938], [-125.57947540283203, -14.988525390625], [-105.86600494384766, 195.8734130859375], [106.31876373291016, -12.762510299682617], [-110.55815124511719, -27.29958152770996], [-24.872766494750977, 146.23599243164062], [108.3921890258789, 207.54913330078125], [44.13943099975586, -102.62189483642578], [128.39585876464844, 153.28604125976562], [66.8440170288086, 167.8094024658203], [219.5020751953125, -21.371719360351562], [32.503990173339844, 26.156797409057617], [-32.48033142089844, 67.0688247680664], [86.74103546142578, 40.21243667602539], [20.58642578125, -47.89836502075195]]","[2, 0, 2, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0]","[-71.57389831542969, -78.63104248046875, -83.6379165649414, -13.136356353759766, -40.20572280883789, -27.80259132385254, -76.56651306152344, -66.63858032226562, -77.74384307861328, -77.72126770019531, -69.48539733886719, -42.722084045410156, -28.670854568481445, -40.91814422607422, -72.48190307617188]","[6.329687118530273, 1.1139037609100342, 0.6964715719223022, 58.698707580566406, 40.6575813293457, 51.841224670410156, 7.0967793464660645, 4.78801965713501, 7.891595840454102, -5.299565315246582, 11.91263198852539, 5.992398738861084, 6.104564666748047, 5.651843070983887, 5.9903411865234375]",1,-1.1023394942283626,6.104564666748047,53.898469543457026,0.26666666666666666,0.4,0.054433105395181744,"[0.0830277640809792, 0.07090308718214991, 0.036635112647963625]","[[-4.476671426993372, 2.828486179866575], [3.4551081084056037, 2.9908214577195444], [0.08479035308026095, -2.6709816135051834], [3.453299756887267, 2.2716280974013845], [4.807611743888515, -3.443074022440671], [-2.743354169479449, -2.882018501184973], [2.9253976762133673, -3.1309270354988183], [-4.333401701766939, 4.985608065856287], [-4.751827885548509, 3.352440601588656], [-1.346331584493472, 3.416154597578153], [0.5462049121114498, 4.016312294863601], [4.261929864146266, -4.90901818719224], [-4.245878240072117, -2.496412704291445], [1.6931541636350165, 3.88272196511506], [-0.4005804870603722, 1.069731162742654]]",['Unfairness: Jain Index = 0.21']
Low Load,2,AI,baseline,"[0.26666666666666666, 0.3333333333333333, 0.4]",19.396301746368408,24.09612449010213,0.3322801311684969,4,"[[138.7903594970703, 152.67372131347656], [-132.4364776611328, -14.554862976074219], [-100.35733032226562, 196.0507049560547], [103.91703033447266, -13.358155250549316], [-101.83157348632812, -25.1986141204834], [-24.171098709106445, 150.46192932128906], [112.83002471923828, 208.20346069335938], [42.56556701660156, -102.1508560180664], [126.66307830810547, 147.41421508789062], [64.46176147460938, 168.15660095214844], [217.6151885986328, -27.339567184448242], [38.351707458496094, 26.78150749206543], [-31.718469619750977, 66.4556884765625], [83.08583068847656, 45.8371696472168], [22.516706466674805, -48.49040985107422]]","[2, 1, 2, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 2, 0]","[-54.849273681640625, -79.57381439208984, -80.74710845947266, -0.9122406840324402, -49.818565368652344, -43.635562896728516, -57.135108947753906, -60.24098205566406, -60.09767150878906, -69.25360107421875, -56.97076416015625, -45.48573303222656, -67.40458679199219, -37.2579231262207, -40.065277099609375]","[19.946359634399414, 11.45457649230957, -1.4132168292999268, 65.41634368896484, 29.828805923461914, 33.880149841308594, 21.315792083740234, 9.957310676574707, 16.320899963378906, 21.17058753967285, 16.288761138916016, 2.8761885166168213, 0.6387295722961426, 10.287117958068848, 32.97611999511719]",1,0.023145651817321866,16.320899963378906,43.34100799560544,0.26666666666666666,0.4,0.054433105395181744,"[0.07281348974029124, 0.09198016172561915, 0.05136449427430471]","[[-4.032460850010889, -1.053658855350917], [-2.4270193469413543, 2.616723789706967], [7.734091255744728, -4.21720603177597], [-2.8310465419069724, 0.7459923244522229], [5.695607825951421, 2.8964077190156496], [3.0061229131597638, 0.15530732143371617], [5.601619057780944, -3.751122932463204], [-5.193098569677565, 3.613981439181453], [2.4582013348073133, -3.353241791487855], [-2.8809910467903794, -4.438499430499508], [-4.915177297991721, -2.4539042458807203], [5.488124235794346, 0.9353658556187103], [3.719522478339207, 3.285911471509397], [0.07672118397304895, 2.4172341980315197], [0.7792007190516407, -2.825206791349198]]",['Unfairness: Jain Index = 0.33']
Low Load,3,AI,baseline,"[0.3333333333333333, 0.26666666666666666, 0.4]",13.794575226306915,8.581382264693579,0.24836869950963641,5,"[[137.227294921875, 146.17005920410156], [-140.87376403808594, -11.241043090820312], [-105.62638854980469, 199.44683837890625], [109.52730560302734, -12.075871467590332], [-97.30634307861328, -23.520753860473633], [-23.067960739135742, 158.15882873535156], [112.69119262695312, 216.38706970214844], [46.701568603515625, -106.92269134521484], [126.81746673583984, 144.4263153076172], [69.745361328125, 168.10833740234375], [219.82150268554688, -25.887454986572266], [36.486812591552734, 30.160703659057617], [-31.726016998291016, 68.21599578857422], [80.93950653076172, 50.4472541809082], [26.410118103027344, -45.97819900512695]]","[2, 0, 2, 1, 1, 1, 1, 0, 2, 2, 2, 0, 0, 2, 0]","[-53.5190544128418, -75.69279479980469, -89.53843688964844, -13.0409574508667, -80.50067138671875, -77.11056518554688, -64.5271224975586, -76.28732299804688, -65.73904418945312, -50.11631774902344, -82.48326110839844, -43.416744232177734, -38.6510124206543, -29.143373489379883, -62.53864669799805]","[14.389399528503418, 16.609317779541016, -0.9632956981658936, 35.16262435913086, -0.11591079831123352, 2.3109617233276367, 16.496946334838867, 4.261192798614502, 9.588547706604004, 30.81718635559082, -0.42061880230903625, 6.276566505432129, 39.288795471191406, 23.559322357177734, 9.6575927734375]",3,-0.5834218710660934,9.6575927734375,36.40047569274902,0.26666666666666666,0.4,0.054433105395181744,"[-0.001511547826699683, -0.0829067954069705, -0.047641999779458516]","[[-3.7402213918083174, -2.7586782033992128], [-3.9385534717860815, 4.539059994272854], [-2.214372865502645, -0.5610241400743456], [3.9861180763422226, 1.7732158796147433], [1.1803748056177437, 2.0556319036083712], [3.2882225710538187, 3.776692678517609], [1.426396706650265, 3.9000727469405767], [0.3539752742547684, -2.2270914373157655], [3.8007670888384446, 0.4147282741308711], [4.0613758756723435, -4.598321860494188], [-1.0248424845876447, 4.478050183624681], [-2.5034990724169726, 4.415362460384927], [4.539024611292499, 3.8214231422586096], [0.6366804509329871, 0.5297849737085357], [3.4596367324025676, 1.5431268410664758]]",['Unfairness: Jain Index = 0.25']
Low Load,4,AI,baseline,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]",17.536026350657146,14.572274684906006,0.2463831470369644,7,"[[143.90139770507812, 141.95240783691406], [-142.54771423339844, -14.613442420959473], [-108.2953109741211, 205.14669799804688], [109.3582763671875, -8.472519874572754], [-95.193359375, -27.606252670288086], [-25.545310974121094, 162.66087341308594], [110.11976623535156, 224.0045928955078], [52.33550262451172, -107.15277099609375], [121.73220825195312, 146.90707397460938], [68.80675506591797, 173.56736755371094], [221.5337371826172, -25.959665298461914], [32.376888275146484, 25.11066436767578], [-32.97854995727539, 65.72676086425781], [76.7897720336914, 55.25001907348633], [28.808876037597656, -47.183128356933594]]","[2, 0, 2, 1, 0, 0, 2, 0, 2, 2, 1, 1, 2, 2, 1]","[-64.6209487915039, -43.682640075683594, -92.8963623046875, -7.711215496063232, -62.31563186645508, -82.5050277709961, -61.892398834228516, -37.10388946533203, -61.54292297363281, -71.59112548828125, -82.14495849609375, -43.23316192626953, -66.74368286132812, -40.964603424072266, -32.53628158569336]","[4.9567551612854, 38.42795944213867, -4.25889778137207, 94.92791748046875, 17.44847869873047, 4.350332260131836, 13.838248252868652, 0.7584424018859863, 23.889461517333984, 4.184569835662842, 5.830780029296875, 2.5667724609375, 10.153766632080078, 34.383541107177734, 11.582267761230469]",1,-0.7467596530914302,10.153766632080078,55.37794685363764,0.26666666666666666,0.4666666666666667,0.09428090415820635,"[-0.18006707910604236, -0.08384794261708563, 0.02911203395232817]","[[4.581287637381366, 0.0007438642770316584], [1.62625660473849, -3.010780475185336], [-0.5488070332337622, 1.9028833481308947], [-3.170163545439472, 3.657451398758578], [-0.8538343240446928, -3.552223576225109], [-1.2931700830325112, 0.5980975892695555], [-2.0312080182277916, 4.118976941557033], [1.6977584603736373, 1.5034116926443346], [-0.7917504713220582, 4.619153014112879], [-2.2581083205075236, 0.7770550101545259], [-1.9094484252738244, 2.4480475297155397], [-4.522085161298786, -4.541061321249508], [3.108609695187914, -0.6573183893632892], [-1.5881994539964426, 1.0752686217533842], [2.0189934386897352, -2.9879865315559337]]",['Unfairness: Jain Index = 0.25']
Low Load,5,AI,baseline,"[0.4, 0.13333333333333333, 0.4666666666666667]",13.675068028767903,21.49134620030721,0.2500275934829411,4,"[[143.19863891601562, 139.3461456298828], [-145.01119995117188, -15.490190505981445], [-111.2928695678711, 209.65606689453125], [108.76277160644531, -9.517687797546387], [-94.82330322265625, -25.543472290039062], [-25.271289825439453, 166.9551544189453], [105.30358123779297, 224.5622100830078], [52.63983917236328, -106.1495590209961], [120.56596374511719, 149.22000122070312], [67.76337432861328, 176.254150390625], [221.81263732910156, -30.516752243041992], [35.308135986328125, 27.753341674804688], [-38.81251525878906, 61.66007995605469], [74.66313171386719, 55.571868896484375], [31.74362564086914, -43.39875411987305]]","[2, 0, 2, 1, 0, 2, 2, 0, 2, 2, 1, 0, 0, 2, 0]","[-75.54735565185547, -90.63072204589844, -84.53546142578125, -8.362360954284668, -40.145870208740234, -88.91690063476562, -69.91321563720703, -81.97836303710938, -69.50981140136719, -55.18608474731445, -80.54480743408203, -53.52771759033203, -73.27198791503906, -60.54439163208008, -33.45833206176758]","[2.1728708744049072, 2.1002871990203857, 4.985495567321777, 36.700233459472656, 50.27751541137695, -0.6459007263183594, 25.357650756835938, -2.9596285820007324, 6.450496196746826, 16.50731658935547, 10.291511535644531, 2.765377998352051, 7.455493927001953, 3.6070470809936523, 40.06025314331055]",2,-1.3400190830230712,6.450496196746826,43.12543182373046,0.13333333333333333,0.4666666666666667,0.14401645996461912,"[0.06755446319236688, 0.03960494215190044, -0.09710629278537107]","[[-2.683883196378718, 1.058447608958808], [0.024003394912116782, 0.27936252526865957], [-2.680695753931773, 1.7500347070862663], [-2.335816290632231, -1.1056503352154614], [-1.310840841199238, 1.3711644881229832], [0.9060348952398094, 1.2241960079334477], [-4.328341415626836, -2.4351987365451917], [-3.1979502324363205, 1.654592664707864], [2.781663957505015, 4.631100439786904], [-2.2085945819947317, -2.042088809080651], [-3.5461581801374558, -2.382405335610194], [2.6456517154275216, 3.8274827436105108], [-1.9223106349112573, -2.123547679065487], [-0.6481358521700451, -2.304750221228106], [1.6526050873247957, 3.257663681777662]]",['Unfairness: Jain Index = 0.25']
Low Load,6,AI,baseline,"[0.5333333333333333, 0.06666666666666667, 0.4]",16.96075957218806,3.805114299058914,0.22923531995352892,2,"[[141.3050994873047, 132.7498779296875], [-148.71017456054688, -19.967660903930664], [-117.72463989257812, 217.68130493164062], [113.32298278808594, -14.760865211486816], [-95.75758361816406, -26.95432472229004], [-30.030189514160156, 165.6055450439453], [96.62599182128906, 221.3173828125], [54.412750244140625, -101.3038558959961], [114.91707611083984, 151.9547576904297], [61.13794708251953, 183.07913208007812], [222.15383911132812, -28.18765640258789], [38.604549407958984, 30.899494171142578], [-39.40000915527344, 61.23571014404297], [70.60480499267578, 58.48805236816406], [33.3932991027832, -48.17565155029297]]","[2, 0, 0, 1, 0, 2, 2, 0, 2, 2, 0, 0, 0, 2, 0]","[-56.121864318847656, -32.923301696777344, -68.54066467285156, -16.414325714111328, -62.31852722167969, -79.66203308105469, -70.87525939941406, -68.98104858398438, -29.69927978515625, -54.167945861816406, -80.90226745605469, -62.47262954711914, -61.0343017578125, -65.2143783569336, -66.0948715209961]","[15.964334487915039, 48.45922088623047, 14.359579086303711, 54.17224884033203, 2.641300678253174, 6.347375392913818, 0.4287375807762146, 11.491065979003906, 57.84617614746094, 1.6590673923492432, 7.09013557434082, 6.961566925048828, 20.667448043823242, 2.7858104705810547, 3.5373260974884033]",0,1.2899684488773346,7.09013557434082,55.2744270324707,0.06666666666666667,0.5333333333333333,0.19626135258506328,"[0.00046313597751246327, 0.06968978271718507, 0.07847955887463155]","[[-3.3355654937130383, -2.5967491204291986], [-2.2908356480202827, -2.5294456291114598], [-6.637830588999056, 5.541546278127815], [1.012120060437371, -5.632971289862211], [-2.56054429709021, -2.1291762046664893], [-5.3685030075153035, -2.8600279385518474], [-5.958527291824705, -6.080780851121393], [-0.7692667205857135, 5.963272342088626], [-2.229741765579915, 5.2078446734676], [-5.778170004241979, 1.9804330148106066], [-3.5900960247604563, 4.641119433816877], [2.792300631079377, 4.0016019341069216], [3.8933654768210184, 0.6080084655584045], [-3.089005703813883, 0.8509200053296766], [1.2183391069179133, -4.7681925765964825]]",['Unfairness: Jain Index = 0.23']
Low Load,7,AI,baseline,"[0.4, 0.26666666666666666, 0.3333333333333333]",16.869855213165284,13.580767711003622,0.28288154026497025,5,"[[139.6582489013672, 128.0073699951172], [-146.53916931152344, -23.429662704467773], [-117.35257720947266, 220.23553466796875], [114.94384002685547, -12.723722457885742], [-93.63812255859375, -27.481367111206055], [-25.97259521484375, 162.5781707763672], [90.57670593261719, 228.60243225097656], [59.98497009277344, -99.24066162109375], [111.24234008789062, 149.75802612304688], [60.16374588012695, 183.00405883789062], [229.14353942871094, -30.120746612548828], [43.19082260131836, 30.78451156616211], [-45.91505813598633, 59.60197448730469], [63.753562927246094, 63.10946273803711], [33.20547103881836, -50.90689468383789]]","[2, 0, 0, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0]","[-67.26754760742188, -29.343189239501953, -48.749534606933594, -14.349751472473145, -75.5039291381836, -77.61663818359375, -64.9410171508789, -64.60247039794922, -30.320289611816406, -67.92726135253906, -78.52139282226562, -60.36770248413086, -77.8559799194336, -40.5391731262207, -68.23773193359375]","[-2.266239643096924, 9.95512580871582, 41.421913146972656, 38.54018020629883, 4.862835884094238, 5.683165073394775, 13.722845077514648, 14.835962295532227, 53.62289047241211, 7.948549270629883, 14.925965309143066, 5.852132320404053, 1.6527080535888672, 33.66246795654297, 8.627326965332031]",1,0.47702374458313024,9.95512580871582,45.08220634460448,0.26666666666666666,0.4,0.054433105395181744,"[0.08605922029425023, -0.06712218591173143, -0.054373613483453334]","[[-3.696759922120311, -0.29708110628544127], [4.196073225243904, -2.359442612877556], [0.41852130749289707, -0.8854126290723503], [-1.6399058915952303, 0.7215269126357473], [0.5889290116881085, -1.4063339911599937], [3.5056329656604177, -4.468278922504748], [-4.14761604832692, 4.907812599667379], [2.476829120511791, 3.0392890343009853], [1.027010751387972, -0.8013957397354021], [1.2922687873230752, -4.074152943912869], [2.577691683021629, 0.4074304714384951], [4.5673189053809224, 1.476206440893615], [-3.263720423438441, -1.7906094907073165], [-5.000298382208114, 3.13841207815569], [0.5635014519471264, -2.3650631390524905]]",['Unfairness: Jain Index = 0.28']
Low Load,8,AI,baseline,"[0.4, 0.26666666666666666, 0.3333333333333333]",28.67422424952189,27.346746762593586,0.5647317505794441,8,"[[136.3932342529297, 119.21417999267578], [-149.6963348388672, -21.588306427001953], [-120.02808380126953, 224.0726318359375], [120.99454498291016, -14.600796699523926], [-92.50552368164062, -22.84516143798828], [-24.717369079589844, 165.20350646972656], [89.70500946044922, 230.19528198242188], [62.927772521972656, -104.80048370361328], [105.4509506225586, 152.07159423828125], [59.868980407714844, 185.5352325439453], [231.73666381835938, -34.66747283935547], [41.90628433227539, 32.18195724487305], [-44.58005905151367, 60.381317138671875], [52.87431716918945, 68.85689544677734], [36.944801330566406, -47.60493850708008]]","[0, 0, 2, 1, 0, 0, 2, 1, 1, 2, 1, 0, 2, 2, 0]","[-57.76707077026367, -76.2797622680664, -43.01091766357422, -42.469600677490234, -62.07005310058594, -24.148893356323242, -71.40302276611328, -21.601886749267578, -41.786468505859375, -49.32636260986328, -29.14299774169922, -42.24361038208008, -24.564077377319336, -38.58639144897461, -20.927610397338867]","[5.898794651031494, 8.856037139892578, 52.32792663574219, 25.102554321289062, 26.14858627319336, 62.180904388427734, 13.23300552368164, 52.520103454589844, 33.68499755859375, 35.95595932006836, 55.90987777709961, 18.80208396911621, 32.88442611694336, 9.36054801940918, -2.75244140625]",1,3.3034238338470465,26.14858627319336,57.79118576049804,0.26666666666666666,0.4,0.054433105395181744,"[-0.10168347643693448, -0.007779126843461524, -0.047095110340554476]","[[-3.726584520020398, -5.15433683975529], [-0.5709674170922623, 2.997672314889991], [-3.109998064709585, 1.7879423194793476], [2.218416734242348, -4.076472064747764], [0.3086165857403649, 2.4232435571175968], [-0.15895841180625148, 1.93106348889429], [-0.2649565498247175, -1.181492487566652], [0.07880998751450297, -4.522436463969323], [-1.1861800637208815, 3.32929130191195], [0.5726906445762585, -0.3930290711489728], [-1.6446450812634044, -2.49926964396699], [-1.429376279054858, 3.0564839522007734], [5.6550288796061725, 0.01379824361706078], [-7.2039149402156255, 4.357466156291439], [3.5228348732241836, 3.1970585841463595]]",[]
Low Load,9,AI,baseline,"[0.26666666666666666, 0.2, 0.5333333333333333]",18.43090345462163,23.78195571899414,0.38494176962636695,7,"[[134.78819274902344, 112.57408142089844], [-148.90467834472656, -24.955041885375977], [-123.41981506347656, 225.4759063720703], [119.55902099609375, -10.741247177124023], [-95.31875610351562, -20.352460861206055], [-28.489154815673828, 167.8712158203125], [89.53636932373047, 233.03770446777344], [57.17723846435547, -105.52654266357422], [97.72372436523438, 153.59840393066406], [53.684669494628906, 189.90513610839844], [231.83963012695312, -32.42660903930664], [41.241233825683594, 26.6104679107666], [-52.92535400390625, 57.35366439819336], [52.89388656616211, 66.37112426757812], [41.53684997558594, -46.80351257324219]]","[1, 0, 2, 1, 0, 2, 2, 0, 2, 2, 2, 0, 1, 2, 2]","[-67.47345733642578, -84.93858337402344, -82.11956787109375, -45.200782775878906, -61.76002502441406, -82.97955322265625, -61.675601959228516, -78.25765228271484, -53.960182189941406, -51.28091812133789, -37.48782730102539, -50.37752151489258, -32.24756622314453, -45.495849609375, -23.34902000427246]","[0.375282347202301, -1.8624076843261719, 6.40880012512207, 29.66172218322754, 19.890235900878906, 9.039836883544922, 13.590764999389648, 2.6972830295562744, 30.854270935058594, 24.350921630859375, 46.57951354980469, -0.6592073440551758, 41.945152282714844, 7.944784164428711, 45.64659881591797]",2,-1.0201674461364745,13.590764999389648,45.926473236083986,0.2,0.5333333333333333,0.14401645996461912,"[-0.03162947223822703, 0.07942756430952855, 0.033036443146925776]","[[-0.5225340431291627, -4.316671187661169], [2.3072136850967624, -1.2447387446076075], [-1.971709957554444, -2.1172698661556453], [-4.922907740555727, 2.4264520280174606], [-3.5468966298272164, 0.2064483886425723], [-4.839185979957775, 1.2788328792530832], [-1.3050765125524144, 1.3074745136522097], [-4.1010505298388455, -2.3366615402187296], [-3.8969320702708776, 1.4607077791965022], [-3.914465041221894, 1.1710221153355853], [-3.6530952901716596, 4.433546055832922], [-0.8361932259523295, -3.7340992042391985], [-4.58189549603123, -1.7057744614766444], [3.9138642428289945, -3.56184838059293], [2.9083206753788327, -0.8262817145631507]]",['Unfairness: Jain Index = 0.38']
