scenario,iteration,fuzzer_type,algorithm,handover_count,handover_rate,vulnerability_count,vulnerabilities_list,jain_fairness_index,avg_sinr_db,sinr_5th_percentile_db,avg_throughput_mbps,throughput_5th_percentile_mbps,avg_transmission_time_ms,load_std,has_ping_pong,has_qoe_violation,has_unfairness
High Mobility,0,AI-Fuzzer,Baseline,9,0.3,2,"['QoS Violation: Avg High Prio SINR = 1.93 dB (Severity: 2)', 'Unfairness: Jain Index = 0.20 (Severity: 2)']",0.19652163736489456,2.6653736,-5.241140961647034,24.432882,5.168046069145203,0.9159301,0.04232399326952568,False,True,True
High Mobility,1,AI-Fuzzer,Baseline,14,0.4666666666666667,1,['Unfairness: Jain Index = 0.04 (Severity: 2)'],0.042340894683257364,3.6576974,-5.395119619369506,27.727776,5.117499828338623,0.83699673,0.042323993269525684,False,False,True
High Mobility,2,AI-Fuzzer,Baseline,17,0.5666666666666667,2,"['QoS Violation: Avg High Prio SINR = 3.20 dB (Severity: 1)', 'Unfairness: Jain Index = 0.05 (Severity: 2)']",0.046675923402103,3.514463,-2.9755604743957518,26.966068,8.08001754283905,0.772445,0.04232399326952568,False,True,True
High Mobility,3,AI-Fuzzer,Baseline,14,0.4666666666666667,2,"['Ping-Pong: 15 UEs oscillating (Severity: 3)', 'Unfairness: Jain Index = 0.05 (Severity: 2)']",0.04643616099037903,2.8567655,-4.278571259975433,25.287485,6.379249072074891,0.8840745,0.046283880555343576,True,False,True
High Mobility,4,AI-Fuzzer,Baseline,11,0.36666666666666664,3,"['Ping-Pong: 14 UEs oscillating (Severity: 3)', 'QoS Violation: Avg High Prio SINR = 2.65 dB (Severity: 2)', 'Unfairness: Jain Index = 0.07 (Severity: 2)']",0.06666686787496968,2.6425798,-5.58756046295166,25.281178,4.821953821182251,0.97699255,0.04368385823855695,True,True,True
High Mobility,5,AI-Fuzzer,Baseline,14,0.4666666666666667,2,"['Ping-Pong: 11 UEs oscillating (Severity: 2)', 'Unfairness: Jain Index = 0.08 (Severity: 2)']",0.07715078926100755,6.0442824,-4.164700376987457,36.954067,6.544681453704834,0.7165967,0.046283880555343576,True,False,True
High Mobility,6,AI-Fuzzer,Baseline,13,0.43333333333333335,3,"['Ping-Pong: 13 UEs oscillating (Severity: 3)', 'QoS Violation: Avg High Prio SINR = 3.54 dB (Severity: 1)', 'Unfairness: Jain Index = 0.05 (Severity: 2)']",0.05156538278550499,4.7122927,-2.8905321717262265,31.522802,8.268852615356446,0.7508573,0.046283880555343576,True,True,True
High Mobility,7,AI-Fuzzer,Baseline,21,0.7,3,"['Ping-Pong: 17 UEs oscillating (Severity: 3)', 'QoS Violation: Avg High Prio SINR = 4.33 dB (Severity: 1)', 'Unfairness: Jain Index = 0.12 (Severity: 2)']",0.12059297854058447,4.3202105,-4.065904903411865,29.848885,6.636494374275208,0.7503305,0.047530586611031815,True,True,True
High Mobility,8,AI-Fuzzer,Baseline,14,0.4666666666666667,3,"['Ping-Pong: 17 UEs oscillating (Severity: 3)', 'QoS Violation: Avg High Prio SINR = 1.52 dB (Severity: 2)', 'Unfairness: Jain Index = 0.08 (Severity: 2)']",0.08257014318332506,4.5435286,-6.227193236351013,32.674767,4.235194599628449,0.9677969,0.04993069989739546,True,True,True
High Mobility,9,AI-Fuzzer,Baseline,14,0.4666666666666667,3,"['Ping-Pong: 17 UEs oscillating (Severity: 3)', 'QoS Violation: Avg High Prio SINR = 3.73 dB (Severity: 1)', 'Unfairness: Jain Index = 0.25 (Severity: 1)']",0.24825030698486084,2.9052804,-4.246447467803955,24.44654,6.301489043235779,0.8142572,0.039463936418252604,True,True,True
