scenario,iteration,fuzzer_type,algorithm,handover_count,handover_rate,vulnerability_count,vulnerabilities_list,jain_fairness_index,avg_sinr_db,sinr_5th_percentile_db,avg_throughput_mbps,throughput_5th_percentile_mbps,avg_transmission_time_ms,load_std,has_ping_pong,has_qoe_violation,has_unfairness
High Mobility,0,AI-Fuzzer,Baseline,20,0.6666666666666666,2,"['QoS Violation: Avg High Prio SINR = 3.61 dB', 'Unfairness: Jain Index = 0.08']",0.08272563912144834,4.0975447,-3.748659634590149,28.335726,6.947236585617065,0.70319426,0.05222061777592006,False,True,True
High Mobility,1,AI-Fuzzer,Baseline,20,0.6666666666666666,1,['Unfairness: Jain Index = 0.15'],0.1474153596347959,7.249911,-3.9750867843627926,41.06459,6.807845973968506,0.63197786,0.047530586611031815,False,False,True
High Mobility,2,AI-Fuzzer,Baseline,20,0.6666666666666666,1,['Unfairness: Jain Index = 0.19'],0.18904886453805653,8.63475,-4.92466299533844,47.890305,5.529620552062989,0.67964566,0.04753058661103181,False,False,True
High Mobility,3,AI-Fuzzer,Baseline,22,0.7333333333333333,2,"['Ping-Pong: 21 UEs oscillating', 'Unfairness: Jain Index = 0.22']",0.22293471934075515,11.712232,-2.201195633411407,58.798805,9.346928596496582,0.44378477,0.03473506995302339,True,False,True
High Mobility,4,AI-Fuzzer,Baseline,21,0.7,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.19']",0.1925588371230223,7.836222,-4.186753070354461,45.36432,6.385663890838623,0.8129985,0.03473506995302339,True,False,True
High Mobility,5,AI-Fuzzer,Baseline,18,0.6,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.18']",0.1760317509825111,9.01248,-3.19707692861557,48.45176,7.74188575744629,0.5646034,0.04368385823855695,True,False,True
High Mobility,6,AI-Fuzzer,Baseline,14,0.4666666666666667,3,"['Ping-Pong: 19 UEs oscillating', 'QoS Violation: Avg High Prio SINR = 2.68 dB', 'Unfairness: Jain Index = 0.18']",0.18245987865713434,7.6988235,-3.847211718559265,44.936356,6.818381881713867,0.7679077,0.04500265031010758,True,True,True
High Mobility,7,AI-Fuzzer,Baseline,18,0.6,2,"['Ping-Pong: 17 UEs oscillating', 'Unfairness: Jain Index = 0.15']",0.1511909018566087,7.936945,-3.427159512042999,44.462536,7.39099645614624,0.61937773,0.04091896066558105,True,False,True
High Mobility,8,AI-Fuzzer,Baseline,20,0.6666666666666666,2,"['Ping-Pong: 19 UEs oscillating', 'Unfairness: Jain Index = 0.19']",0.18826004219995268,8.554217,-4.597590351104736,47.55434,5.903244996070862,0.65797657,0.046283880555343576,True,False,True
High Mobility,9,AI-Fuzzer,Baseline,20,0.6666666666666666,2,"['Ping-Pong: 22 UEs oscillating', 'Unfairness: Jain Index = 0.23']",0.22640039996947559,8.861068,-2.9720030784606934,49.720737,8.060578775405883,0.72634083,0.04368385823855695,True,False,True
High Mobility,10,AI-Fuzzer,Baseline,23,0.7666666666666667,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.24']",0.2362402485503857,9.631287,-3.692167019844055,51.947758,7.053170776367188,0.60711944,0.04874541750684142,True,False,True
High Mobility,11,AI-Fuzzer,Baseline,23,0.7666666666666667,3,"['Ping-Pong: 22 UEs oscillating', 'QoS Violation: Avg High Prio SINR = 3.75 dB', 'Unfairness: Jain Index = 0.24']",0.23971707929591887,9.472124,-3.5057884812355042,51.461143,7.280483078956604,0.6197541,0.045002650310107584,True,True,True
High Mobility,12,AI-Fuzzer,Baseline,19,0.6333333333333333,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.11']",0.11475625004355847,6.132069,-3.4963310837745665,37.912838,7.29478702545166,0.72360545,0.04232399326952568,True,False,True
High Mobility,13,AI-Fuzzer,Baseline,18,0.6,2,"['Ping-Pong: 20 UEs oscillating', 'Unfairness: Jain Index = 0.25']",0.24561756231803467,9.43273,-5.472640228271484,52.65659,5.076914739608765,0.7822662,0.04368385823855696,True,False,True
High Mobility,14,AI-Fuzzer,Baseline,17,0.5666666666666667,2,"['Ping-Pong: 19 UEs oscillating', 'Unfairness: Jain Index = 0.15']",0.1493724296186072,7.0780396,-5.0207466125488285,42.71078,5.405237555503845,0.90805936,0.04232399326952568,True,False,True
High Mobility,15,AI-Fuzzer,Baseline,19,0.6333333333333333,2,"['Ping-Pong: 17 UEs oscillating', 'Unfairness: Jain Index = 0.20']",0.20057996191775232,8.127144,-3.260438275337219,45.78024,7.692439985275269,0.6550383,0.03637972167250478,True,False,True
High Mobility,16,AI-Fuzzer,Baseline,21,0.7,3,"['Ping-Pong: 19 UEs oscillating', 'QoS Violation: Avg High Prio SINR = 3.61 dB', 'Unfairness: Jain Index = 0.14']",0.14137709881733637,6.2889066,-6.733560228347779,39.143562,3.7982078790664673,0.8735755,0.04091896066558105,True,True,True
High Mobility,17,AI-Fuzzer,Baseline,20,0.6666666666666666,2,"['Ping-Pong: 22 UEs oscillating', 'Unfairness: Jain Index = 0.17']",0.16722367490677184,9.405081,-4.525585067272186,50.049004,6.146021747589112,0.6479598,0.04993069989739546,True,False,True
High Mobility,18,AI-Fuzzer,Baseline,18,0.6,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.22']",0.22313864932242086,9.626033,-5.69006769657135,53.223904,4.716821718215942,0.7516769,0.03637972167250478,True,False,True
High Mobility,19,AI-Fuzzer,Baseline,23,0.7666666666666667,2,"['Ping-Pong: 23 UEs oscillating', 'Unfairness: Jain Index = 0.19']",0.18609963573646143,8.068158,-2.837464475631714,45.64504,8.279439687728882,0.6528737,0.03795317132067358,True,False,True
High Mobility,0,AI-Fuzzer,Utility,19,0.6333333333333333,2,"['QoS Violation: Avg High Prio SINR = 1.82 dB', 'Unfairness: Jain Index = 0.05']",0.0509603271011226,3.8929222,-5.305357050895691,29.081432,5.098397302627563,0.86232096,0.04500265031010758,False,True,True
